	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-75-7027-01	-2.9780304879231756	-1.8150840636039267	16.946407	4.6882477	-13.844729	10.293678
TCGA-75-7030-01	0.593315902149836	-5.411880536782131	16.96291	6.1917677	-19.509106	0.6902038
TCGA-75-7031-01	-3.9796458052160855	-3.6332290851557776	14.93624	4.9775534	-1.4499524	15.958733
TCGA-78-7143-01	-4.717083058522763	0.44052390706939143	16.557394	3.9106789	-15.323121	14.805235
TCGA-78-7145-01	-0.9187820530251668	-4.14604686797189	17.170376	6.069706	-17.351534	4.4080267
TCGA-78-7146-01	1.3769912062513066	0.13084502525479075	14.157229	7.6685023	0.40076604	-7.65436
TCGA-78-7147-01	0.5120855730235365	-1.9246122722329022	17.021448	6.6935706	-14.853453	1.6969315
TCGA-78-7148-01	3.8063306693217984	-0.15310562757937188	15.533037	8.596054	-6.161171	-7.504937
TCGA-78-7149-01	-1.358178317608133	-2.5627991528150367	14.190905	5.748114	-11.503537	-21.598156
TCGA-78-7150-01	2.0120038595521192	-0.3359522311952322	16.043451	7.8482013	-8.382044	-3.4342325
TCGA-78-7152-01	3.766734283988225	-1.7807003819948664	15.23966	8.591014	-10.147224	-10.490753
TCGA-78-7153-01	-1.0798588187726346	-0.5148053432459511	13.364752	6.9052157	-2.1223392	-21.714235
TCGA-78-7154-01	0.6748434164512456	-3.471791044080258	16.848497	6.7518616	-15.745299	-1.9373813
TCGA-78-7155-01	-4.138810545852988	0.06574834549468261	16.442795	4.258447	-13.3354025	14.206731
TCGA-78-7156-01	3.581908555525004	-3.036289176881608	14.586777	8.557415	-8.210073	-14.059097
TCGA-78-7158-01	3.752608184838715	-2.3124565907834294	14.207162	8.825052	-6.2970257	-15.627763
TCGA-78-7159-01	-0.8883904811991166	1.0544825213636895	15.735525	6.3019547	-4.935761	1.9880139
TCGA-78-7160-01	0.43532246494152066	-2.886217282841112	14.876638	6.9383173	-13.771671	-6.6950026
TCGA-78-7161-01	1.1269731712258286	-3.2608785237957307	17.281334	6.6756268	-17.917868	0.019108672
TCGA-78-7162-01	4.446907386377074	-1.987066766104069	15.107041	8.822089	-10.162387	-11.958387
TCGA-78-7163-01	-2.089338973543901	2.3534267791971364	15.731178	6.2270827	-4.09407	2.1064913
TCGA-78-7166-01	4.497556112168615	-0.3765485136803218	14.687638	8.95483	-6.3006277	-13.175677
TCGA-78-7167-01	-1.3859688336201876	-4.152508701776812	14.537911	5.5600595	-4.1382623	15.874212
TCGA-78-7220-01	-4.3086764226633365	-0.379850192097617	16.70238	4.0089693	-15.089787	12.771252
TCGA-78-7535-01	-4.163383652359491	0.561507129104671	16.542988	4.1542773	-13.954859	13.457203
TCGA-78-7536-01	-3.436842271715026	0.019425422023598152	16.259644	4.712497	-10.3340845	12.247395
TCGA-78-7537-01	4.218917993192561	-1.8663248508102868	13.713325	9.244572	-8.6779	-19.715128
TCGA-78-7539-01	3.089133909913053	-1.180146899549498	14.814343	8.756433	-5.1580586	-11.321006
TCGA-78-7540-01	1.6087123817399451	-2.7515101529131334	13.544779	7.373335	-4.247558	-19.480444
TCGA-78-7542-01	-5.03531377133989	-1.2118032149693816	16.554146	4.1568856	-12.715414	13.218001
TCGA-78-7633-01	2.7303143248523045	-3.0147204688793154	13.897856	8.437598	-5.033493	-17.953054
TCGA-78-8640-01	-0.41706490114812694	2.1827473668789943	15.508784	6.459588	-4.166593	1.5700047
TCGA-78-8648-01	1.5971441666130084	3.8869561731266558	14.289926	7.1836886	1.5221438	-2.8151088
TCGA-78-8655-01	2.033167946857707	-4.537173050562529	15.44955	6.9788833	-15.856832	-5.2480617
TCGA-78-8660-01	2.6852778278976657	-1.0179729476030308	14.9804945	7.824702	-11.755473	-8.580874
TCGA-78-8662-01	-3.7079284309088845	-0.7850512454798725	16.672571	4.3701763	-12.905151	11.888365
TCGA-80-5607-01	3.194163080832005	-2.938759790963154	13.747791	8.588876	-5.2365484	-18.621635
TCGA-80-5608-01	-0.1912682019007674	-5.643919122450727	14.794915	5.519056	-4.072482	17.150087
TCGA-80-5611-01	-1.1227319797986048	-5.729873090362295	14.609838	5.478985	-3.7326715	17.0557
TCGA-83-5908-01	-0.7545124115459281	-1.5872323453844301	13.487748	5.8915195	1.6759154	11.8733015
TCGA-86-6562-01	1.9963094735874292	-0.853070907584226	10.671074	7.0299544	7.1677814	-11.311853
TCGA-86-6851-01	2.4008189693735202	-0.0035256429847077236	10.625334	6.729424	8.302168	-9.594598
TCGA-86-7701-01	-5.414114749186514	-0.7096441140070614	15.974244	4.0490537	-10.287901	15.854032
TCGA-86-7711-01	0.89531199802721	4.92546672615794	9.975478	4.9190454	18.64186	-1.9058117
TCGA-86-7713-01	-0.9191024971471111	4.8517372872446565	9.98834	4.737963	19.506626	-1.081318
TCGA-86-7714-01	4.566621098821301	0.6642279399623745	10.492601	8.013749	10.635839	-16.678198
TCGA-86-7953-01	-1.6509720319096524	4.725655811222877	11.498424	4.101473	11.6184435	7.0193877
TCGA-86-7954-01	-2.2885775597130134	-0.7568278708538732	12.50925	4.0369916	6.9705505	8.387808
TCGA-86-7955-01	0.08734566794054253	1.7087407383712372	11.944676	4.496568	6.8709855	4.008144
TCGA-86-8054-01	-0.2992511274894096	2.4482066241087894	12.526734	7.3325906	20.794586	-6.7495313
TCGA-86-8055-01	-0.8417772962140957	1.6765313230249757	12.474622	7.2846956	19.969181	-6.8773637
TCGA-86-8056-01	2.6848255020964262	-2.5487260599933594	11.96226	7.8730283	2.123093	-15.760647
TCGA-86-8073-01	0.8739407980703594	4.57936733915911	10.211076	4.8344507	19.679817	0.44962722
TCGA-86-8074-01	-3.4576928298906453	-1.709069912749763	13.102808	4.281367	4.4970117	12.262558
TCGA-86-8075-01	-2.3790298725355923	2.939621734218953	11.207924	4.970474	14.357101	1.9582331
TCGA-86-8076-01	4.4351050241302055	0.04520056467998107	11.214675	8.262394	6.197611	-18.217674
TCGA-86-8278-01	1.7028913941164903	-1.1488722064345833	11.942646	7.3693824	15.939268	-7.676218
TCGA-86-8279-01	-3.370071858113031	1.157880105478292	11.448041	4.9691734	13.8125925	2.8808894
TCGA-86-8280-01	-2.5857659079405755	3.404864829737391	10.748771	4.484018	17.84138	2.9029787
TCGA-86-8281-01	3.768127916762935	0.05015382296077013	10.81267	7.877789	8.927464	-15.776751
TCGA-86-8358-01	-2.938882765258721	4.622569245308609	10.855041	4.625647	16.341843	2.29325
TCGA-86-8359-01	0.5513222038976208	1.8877797553469509	10.48553	5.680965	11.739765	-3.245526
TCGA-86-8585-01	-2.1807741825730136	0.37447472355968703	11.739106	5.340902	11.911087	1.8488393
TCGA-86-8668-01	0.9797095618269781	-0.628525696645947	13.119045	7.6754837	0.78085667	-12.802545
TCGA-86-8669-01	-0.29166889606253976	2.29909910094752	11.040736	5.409777	12.346256	-1.0427166
TCGA-86-8671-01	5.282195060227205	0.4205429785856492	10.64032	8.22661	10.147696	-17.390324
